,category,href,source,text,title,tokens,text_short
10,['category-autism-advocacy'],https://www.autismparentingmagazine.com/the-never-ending-battle-for-autism-rights/,https://www.autismparentingmagazine.com/,"A civil rights lawyer and autism mom talks about the importance of advocacy, work-life balance and the potentially groundbreaking lawsuit in which she’s representing the parents of an autistic child. Nationally recognized autism advocate and civil rights attorney Areva Martin is also mom to Marty, who has autism. Here, she gives advice on how to… 
",The Never Ending Battle for Autism Rights – A Special Interview with Civil Rights Attorney Areva Martin,"['the', 'never', 'ending', 'battle', 'for', 'autism', 'rights', 'a', 'special', 'interview', 'with', 'civil', 'rights', 'attorney', 'areva', 'martin', 'a', 'civil', 'rights', 'lawyer', 'and', 'autism', 'mom', 'talks', 'about', 'the', 'importance', 'of', 'advocacy', 'work', 'life', 'balance', 'and', 'the', 'potentially', 'groundbreaking', 'lawsuit', 'in', 'which', 'she', 's', 'representing', 'the', 'parents', 'of', 'an', 'autistic', 'child', 'nationally', 'recognized', 'autism', 'advocate', 'and', 'civil', 'rights', 'attorney', 'areva', 'martin', 'is', 'also', 'mom', 'to', 'marty', 'who', 'has', 'autism', 'here', 'she', 'gives', 'advice', 'on', 'how', 'to']","A civil rights lawyer and autism mom talks about the importance of advocacy, work-life balance and the potentially groundbreaking lawsuit in which she’s representing the parents of an autistic child. Nationally recognized autism advocate and civil rights attorney Areva Martin is also mom to Marty, w"
11,['category-autism-advocacy'],https://www.autismparentingmagazine.com/how-one-special-bear-changed-the-way-people-see-autism/,https://www.autismparentingmagazine.com/,"In two short years, Tikko has captured the hearts of thousands of people.  What began as my child’s dream to make the world a better place for families living with autism, is now a passion that continues to grow every time Tikko travels. We know all too well the challenges in raising a child on… 
",How One Special Bear Changed the Way People See Autism,"['how', 'one', 'special', 'bear', 'changed', 'the', 'way', 'people', 'see', 'autism', 'in', 'two', 'short', 'years', 'tikko', 'has', 'captured', 'the', 'hearts', 'of', 'thousands', 'of', 'people', 'what', 'began', 'as', 'my', 'child', 's', 'dream', 'to', 'make', 'the', 'world', 'a', 'better', 'place', 'for', 'families', 'living', 'with', 'autism', 'is', 'now', 'a', 'passion', 'that', 'continues', 'to', 'grow', 'every', 'time', 'tikko', 'travels', 'we', 'know', 'all', 'too', 'well', 'the', 'challenges', 'in', 'raising', 'a', 'child', 'on']","In two short years, Tikko has captured the hearts of thousands of people.  What began as my child’s dream to make the world a better place for families living with autism, is now a passion that continues to grow every time Tikko travels. We know all too well the challenges in raising a child on… 
"
12,['category-autism-advocacy'],https://www.autismparentingmagazine.com/winning-the-fight-for-autism/,https://www.autismparentingmagazine.com/,"Every time the professional fighters meet their opponents in the ring and the octagon, they must focus on their personal strengths – from physical and mental toughness to psychological and emotional drive. It’s all about being a warrior. Christian Mitchell, founder and president of Fighting for Autism, feels much the same way. An autism awareness… 
",Winning the Fight for Autism,"['winning', 'the', 'fight', 'for', 'autism', 'every', 'time', 'the', 'professional', 'fighters', 'meet', 'their', 'opponents', 'in', 'the', 'ring', 'and', 'the', 'octagon', 'they', 'must', 'focus', 'on', 'their', 'personal', 'strengths', 'from', 'physical', 'and', 'mental', 'toughness', 'to', 'psychological', 'and', 'emotional', 'drive', 'it', 's', 'all', 'about', 'being', 'a', 'warrior', 'christian', 'mitchell', 'founder', 'and', 'president', 'of', 'fighting', 'for', 'autism', 'feels', 'much', 'the', 'same', 'way', 'an', 'autism', 'awareness']","Every time the professional fighters meet their opponents in the ring and the octagon, they must focus on their personal strengths – from physical and mental toughness to psychological and emotional drive. It’s all about being a warrior. Christian Mitchell, founder and president of Fighting for Auti"
13,['category-autism-advocacy'],https://www.autismparentingmagazine.com/autism-services-u-s-military-families/,https://www.autismparentingmagazine.com/,"Autism Services for Military Families by Leslie Burby   If America is the “home of the free and the brave” – shouldn’t “the brave” and their families receive the necessities that they need?  There are fundraisers and drives to supply the soldiers with military equipment, boots, food and electronics to communicate with the loved ones… 
",The Right for Autism Services for U.S. Military Families,"['the', 'right', 'for', 'autism', 'services', 'for', 'u', 's', 'military', 'families', 'autism', 'services', 'for', 'military', 'families', 'by', 'leslie', 'burby', 'if', 'america', 'is', 'the', 'home', 'of', 'the', 'free', 'and', 'the', 'brave', 'shouldn', 't', 'the', 'brave', 'and', 'their', 'families', 'receive', 'the', 'necessities', 'that', 'they', 'need', 'there', 'are', 'fundraisers', 'and', 'drives', 'to', 'supply', 'the', 'soldiers', 'with', 'military', 'equipment', 'boots', 'food', 'and', 'electronics', 'to', 'communicate', 'with', 'the', 'loved', 'ones']","Autism Services for Military Families by Leslie Burby   If America is the “home of the free and the brave” – shouldn’t “the brave” and their families receive the necessities that they need?  There are fundraisers and drives to supply the soldiers with military equipment, boots, food and electronics "
14,['category-autism-advocacy'],https://www.autismparentingmagazine.com/bridge-gap-gala-raises-100000-2/,https://www.autismparentingmagazine.com/,"Bridge the Gap Gala Raises over $100,000 by Leslie Burby I had the pleasure of attending Fill-A-Need’s first fundraiser, Bridge the Gap Gala, on November 16th at the Trump National Golf Club in Bedminster, NJ for an evening of fun and fundraising. The venue was astounding but equally astounding was one mother’s dedication to help… 
","Bridge the Gap Gala Raises over $100,000","['bridge', 'the', 'gap', 'gala', 'raises', 'over', '100', '000', 'bridge', 'the', 'gap', 'gala', 'raises', 'over', '100', '000', 'by', 'leslie', 'burby', 'i', 'had', 'the', 'pleasure', 'of', 'attending', 'fill', 'a', 'need', 's', 'first', 'fundraiser', 'bridge', 'the', 'gap', 'gala', 'on', 'november', '16th', 'at', 'the', 'trump', 'national', 'golf', 'club', 'in', 'bedminster', 'nj', 'for', 'an', 'evening', 'of', 'fun', 'and', 'fundraising', 'the', 'venue', 'was', 'astounding', 'but', 'equally', 'astounding', 'was', 'one', 'mother', 's', 'dedication', 'to', 'help']","Bridge the Gap Gala Raises over $100,000 by Leslie Burby I had the pleasure of attending Fill-A-Need’s first fundraiser, Bridge the Gap Gala, on November 16th at the Trump National Golf Club in Bedminster, NJ for an evening of fun and fundraising. The venue was astounding but equally astounding was "
15,['category-autism-advocacy'],https://www.autismparentingmagazine.com/exposing-autism-speaks-podcast-4/,https://www.autismparentingmagazine.com/,"  We started this magazine to help parents, sort through all the information. When my children were diagnosed by autism, I was scared and overwhelmed, there’s a lot of information out there and it’s hard to know what to trust and what to believe in. So there is an approach in us to help form… 
",Exposing Autism Speaks – Podcast 4,"['exposing', 'autism', 'speaks', 'podcast', '4', 'we', 'started', 'this', 'magazine', 'to', 'help', 'parents', 'sort', 'through', 'all', 'the', 'information', 'when', 'my', 'children', 'were', 'diagnosed', 'by', 'autism', 'i', 'was', 'scared', 'and', 'overwhelmed', 'there', 's', 'a', 'lot', 'of', 'information', 'out', 'there', 'and', 'it', 's', 'hard', 'to', 'know', 'what', 'to', 'trust', 'and', 'what', 'to', 'believe', 'in', 'so', 'there', 'is', 'an', 'approach', 'in', 'us', 'to', 'help', 'form']","  We started this magazine to help parents, sort through all the information. When my children were diagnosed by autism, I was scared and overwhelmed, there’s a lot of information out there and it’s hard to know what to trust and what to believe in. So there is an approach in us to help form… 
"
16,['category-autism-and-diet'],https://www.autismparentingmagazine.com/gluten-free-diet-can-help/,https://www.autismparentingmagazine.com/,"Recent clinical trials looking at gluten-free diets for children with autism spectrum disorder (ASD) are showing benefits worth considering. Typical indicators of autism spectrum in children may include delayed speech, lack of eye contact, impaired or non-present social skills, shyness, obsessive-type behaviors, delayed gross or fine motor skills, sensory integration issues (sound and touch sensitivity,… 
",Top Ways a Gluten Free Diet  Can Help Kids with Autism,"['top', 'ways', 'a', 'gluten', 'free', 'diet', 'can', 'help', 'kids', 'with', 'autism', 'recent', 'clinical', 'trials', 'looking', 'at', 'gluten', 'free', 'diets', 'for', 'children', 'with', 'autism', 'spectrum', 'disorder', 'asd', 'are', 'showing', 'benefits', 'worth', 'considering', 'typical', 'indicators', 'of', 'autism', 'spectrum', 'in', 'children', 'may', 'include', 'delayed', 'speech', 'lack', 'of', 'eye', 'contact', 'impaired', 'or', 'non', 'present', 'social', 'skills', 'shyness', 'obsessive', 'type', 'behaviors', 'delayed', 'gross', 'or', 'fine', 'motor', 'skills', 'sensory', 'integration', 'issues', 'sound', 'and', 'touch', 'sensitivity']","Recent clinical trials looking at gluten-free diets for children with autism spectrum disorder (ASD) are showing benefits worth considering. Typical indicators of autism spectrum in children may include delayed speech, lack of eye contact, impaired or non-present social skills, shyness, obsessive-ty"
17,['category-autism-and-diet'],https://www.autismparentingmagazine.com/aspergers-syndrome-and-the-power-of-a-good-diet/,https://www.autismparentingmagazine.com/,"I find the suggestion that there needs to be a cure for autism an absolutely ridiculous notion. Coming as I do from a family where many of our men-folk exhibit spectrum behavior, spending much of their time in the garden shed whittling or inventing, my child fits right in with our collective history of quiet,… 
",Asperger’s Syndrome and the Power of a Good Diet,"['asperger', 's', 'syndrome', 'and', 'the', 'power', 'of', 'a', 'good', 'diet', 'i', 'find', 'the', 'suggestion', 'that', 'there', 'needs', 'to', 'be', 'a', 'cure', 'for', 'autism', 'an', 'absolutely', 'ridiculous', 'notion', 'coming', 'as', 'i', 'do', 'from', 'a', 'family', 'where', 'many', 'of', 'our', 'men', 'folk', 'exhibit', 'spectrum', 'behavior', 'spending', 'much', 'of', 'their', 'time', 'in', 'the', 'garden', 'shed', 'whittling', 'or', 'inventing', 'my', 'child', 'fits', 'right', 'in', 'with', 'our', 'collective', 'history', 'of', 'quiet']","I find the suggestion that there needs to be a cure for autism an absolutely ridiculous notion. Coming as I do from a family where many of our men-folk exhibit spectrum behavior, spending much of their time in the garden shed whittling or inventing, my child fits right in with our collective history"
18,['category-autism-and-diet'],https://www.autismparentingmagazine.com/six-steps-family-fitness-program/,https://www.autismparentingmagazine.com/,"“Wow, how did you get him/her to do that?,” parents often ask me. Whether their seven-year-old son just performed a jump for the first time or their seventeen-year-old daughter triumphed over a Dynamax ball squat, Sandbell slam, and bear walk combo, one of the highlights of my profession is demonstrating capabilities. And it isn’t quite… 
","Six Steps to a Fun, Friendly, Family Fitness Program","['six', 'steps', 'to', 'a', 'fun', 'friendly', 'family', 'fitness', 'program', 'wow', 'how', 'did', 'you', 'get', 'him', 'her', 'to', 'do', 'that', 'parents', 'often', 'ask', 'me', 'whether', 'their', 'seven', 'year', 'old', 'son', 'just', 'performed', 'a', 'jump', 'for', 'the', 'first', 'time', 'or', 'their', 'seventeen', 'year', 'old', 'daughter', 'triumphed', 'over', 'a', 'dynamax', 'ball', 'squat', 'sandbell', 'slam', 'and', 'bear', 'walk', 'combo', 'one', 'of', 'the', 'highlights', 'of', 'my', 'profession', 'is', 'demonstrating', 'capabilities', 'and', 'it', 'isn', 't', 'quite']","“Wow, how did you get him/her to do that?,” parents often ask me. Whether their seven-year-old son just performed a jump for the first time or their seventeen-year-old daughter triumphed over a Dynamax ball squat, Sandbell slam, and bear walk combo, one of the highlights of my profession is demonstr"
19,['category-autism-and-diet'],https://www.autismparentingmagazine.com/qa-section-gluten-free-casein-free-diet-work-effective/,https://www.autismparentingmagazine.com/,"This is the question of the month as featured in Issue Number 7 Q: What is GFCF? A: GFCF stands for Gluten-Free and Casein-Free Q: What is gluten? A: In Living Gluten Free for Dummies by Danna Korn, “Gluten is a mixture of proteins in wheat, rye, and barley. Oats don’t have gluten but may… 
",Q&A Section: How does Gluten free casein free diet work and is it effective?,"['q', 'a', 'section', 'how', 'does', 'gluten', 'free', 'casein', 'free', 'diet', 'work', 'and', 'is', 'it', 'effective', 'this', 'is', 'the', 'question', 'of', 'the', 'month', 'as', 'featured', 'in', 'issue', 'number', '7', 'q', 'what', 'is', 'gfcf', 'a', 'gfcf', 'stands', 'for', 'gluten', 'free', 'and', 'casein', 'free', 'q', 'what', 'is', 'gluten', 'a', 'in', 'living', 'gluten', 'free', 'for', 'dummies', 'by', 'danna', 'korn', 'gluten', 'is', 'a', 'mixture', 'of', 'proteins', 'in', 'wheat', 'rye', 'and', 'barley', 'oats', 'don', 't', 'have', 'gluten', 'but', 'may']","This is the question of the month as featured in Issue Number 7 Q: What is GFCF? A: GFCF stands for Gluten-Free and Casein-Free Q: What is gluten? A: In Living Gluten Free for Dummies by Danna Korn, “Gluten is a mixture of proteins in wheat, rye, and barley. Oats don’t have gluten but may… 
"
20,['category-autism-and-diet'],https://www.autismparentingmagazine.com/mallorys-marvelous-muffins/,https://www.autismparentingmagazine.com/,"I had the pleasure of reviewing Mallory’s Marvelous Muffins because they not only have the typical occasion baskets (such as holiday, get well, bereavement, congratulations, thank you, specific corporate baskets and many more) but they also have autism awareness baskets. They have many flavors of muffins, cookies, and coffee cakes. They even have customized gluten-free… 
",Mallory’s Marvelous Muffins,"['mallory', 's', 'marvelous', 'muffins', 'i', 'had', 'the', 'pleasure', 'of', 'reviewing', 'mallory', 's', 'marvelous', 'muffins', 'because', 'they', 'not', 'only', 'have', 'the', 'typical', 'occasion', 'baskets', 'such', 'as', 'holiday', 'get', 'well', 'bereavement', 'congratulations', 'thank', 'you', 'specific', 'corporate', 'baskets', 'and', 'many', 'more', 'but', 'they', 'also', 'have', 'autism', 'awareness', 'baskets', 'they', 'have', 'many', 'flavors', 'of', 'muffins', 'cookies', 'and', 'coffee', 'cakes', 'they', 'even', 'have', 'customized', 'gluten', 'free']","I had the pleasure of reviewing Mallory’s Marvelous Muffins because they not only have the typical occasion baskets (such as holiday, get well, bereavement, congratulations, thank you, specific corporate baskets and many more) but they also have autism awareness baskets. They have many flavors of mu"
21,['category-autism-and-diet'],https://www.autismparentingmagazine.com/sugary-foods-children-autism-hyperactive/,https://www.autismparentingmagazine.com/,"Sivakumari asks: My daughter loves to eat ice-cream and cake. She will get angry and scream if we do not buy it. How can I stop her from doing this? Also, it is true that sugary foods make children with autism more hyperactive? Hi Sivakumari, thanks for your questions. Your daughter is a girl after… 
",Q and A Do sugary foods make children with autism more hyperactive?,"['q', 'and', 'a', 'do', 'sugary', 'foods', 'make', 'children', 'with', 'autism', 'more', 'hyperactive', 'sivakumari', 'asks', 'my', 'daughter', 'loves', 'to', 'eat', 'ice', 'cream', 'and', 'cake', 'she', 'will', 'get', 'angry', 'and', 'scream', 'if', 'we', 'do', 'not', 'buy', 'it', 'how', 'can', 'i', 'stop', 'her', 'from', 'doing', 'this', 'also', 'it', 'is', 'true', 'that', 'sugary', 'foods', 'make', 'children', 'with', 'autism', 'more', 'hyperactive', 'hi', 'sivakumari', 'thanks', 'for', 'your', 'questions', 'your', 'daughter', 'is', 'a', 'girl', 'after']","Sivakumari asks: My daughter loves to eat ice-cream and cake. She will get angry and scream if we do not buy it. How can I stop her from doing this? Also, it is true that sugary foods make children with autism more hyperactive? Hi Sivakumari, thanks for your questions. Your daughter is a girl after…"
22,['category-general'],https://www.autismparentingmagazine.com/social-stories-for-autistic-children/,https://www.autismparentingmagazine.com/,"Children with autism spectrum disorder (ASD) can sometimes have difficulty when it comes to mastering social skills, as well as communication skills. The good news is there are various strategies or tools developed by experts to help people caring for children with ASD so they grow and succeed. Among these tools are the social stories… 
",Social Stories for Autistic Children,"['social', 'stories', 'for', 'autistic', 'children', 'children', 'with', 'autism', 'spectrum', 'disorder', 'asd', 'can', 'sometimes', 'have', 'difficulty', 'when', 'it', 'comes', 'to', 'mastering', 'social', 'skills', 'as', 'well', 'as', 'communication', 'skills', 'the', 'good', 'news', 'is', 'there', 'are', 'various', 'strategies', 'or', 'tools', 'developed', 'by', 'experts', 'to', 'help', 'people', 'caring', 'for', 'children', 'with', 'asd', 'so', 'they', 'grow', 'and', 'succeed', 'among', 'these', 'tools', 'are', 'the', 'social', 'stories']","Children with autism spectrum disorder (ASD) can sometimes have difficulty when it comes to mastering social skills, as well as communication skills. The good news is there are various strategies or tools developed by experts to help people caring for children with ASD so they grow and succeed. Amon"
