,title,source,category,text,href
10,The Never Ending Battle for Autism Rights – A Special Interview with Civil Rights Attorney Areva Martin,https://www.autismparentingmagazine.com/,category-autism-advocacy,"A civil rights lawyer and autism mom talks about the importance of advocacy, work-life balance and the potentially groundbreaking lawsuit in which she’s representing the parents of an autistic child. Nationally recognized autism advocate and civil rights attorney Areva Martin is also mom to Marty, who has autism. Here, she gives advice on how to… 
",https://www.autismparentingmagazine.com/the-never-ending-battle-for-autism-rights/
11,How One Special Bear Changed the Way People See Autism,https://www.autismparentingmagazine.com/,category-autism-advocacy,"In two short years, Tikko has captured the hearts of thousands of people.  What began as my child’s dream to make the world a better place for families living with autism, is now a passion that continues to grow every time Tikko travels. We know all too well the challenges in raising a child on… 
",https://www.autismparentingmagazine.com/how-one-special-bear-changed-the-way-people-see-autism/
12,Winning the Fight for Autism,https://www.autismparentingmagazine.com/,category-autism-advocacy,"Every time the professional fighters meet their opponents in the ring and the octagon, they must focus on their personal strengths – from physical and mental toughness to psychological and emotional drive. It’s all about being a warrior. Christian Mitchell, founder and president of Fighting for Autism, feels much the same way. An autism awareness… 
",https://www.autismparentingmagazine.com/winning-the-fight-for-autism/
13,The Right for Autism Services for U.S. Military Families,https://www.autismparentingmagazine.com/,category-autism-advocacy,"Autism Services for Military Families by Leslie Burby   If America is the “home of the free and the brave” – shouldn’t “the brave” and their families receive the necessities that they need?  There are fundraisers and drives to supply the soldiers with military equipment, boots, food and electronics to communicate with the loved ones… 
",https://www.autismparentingmagazine.com/autism-services-u-s-military-families/
14,"Bridge the Gap Gala Raises over $100,000",https://www.autismparentingmagazine.com/,category-autism-advocacy,"Bridge the Gap Gala Raises over $100,000 by Leslie Burby I had the pleasure of attending Fill-A-Need’s first fundraiser, Bridge the Gap Gala, on November 16th at the Trump National Golf Club in Bedminster, NJ for an evening of fun and fundraising. The venue was astounding but equally astounding was one mother’s dedication to help… 
",https://www.autismparentingmagazine.com/bridge-gap-gala-raises-100000-2/
15,Exposing Autism Speaks – Podcast 4,https://www.autismparentingmagazine.com/,category-autism-advocacy,"  We started this magazine to help parents, sort through all the information. When my children were diagnosed by autism, I was scared and overwhelmed, there’s a lot of information out there and it’s hard to know what to trust and what to believe in. So there is an approach in us to help form… 
",https://www.autismparentingmagazine.com/exposing-autism-speaks-podcast-4/
16,Top Ways a Gluten Free Diet  Can Help Kids with Autism,https://www.autismparentingmagazine.com/,category-autism-and-diet,"Recent clinical trials looking at gluten-free diets for children with autism spectrum disorder (ASD) are showing benefits worth considering. Typical indicators of autism spectrum in children may include delayed speech, lack of eye contact, impaired or non-present social skills, shyness, obsessive-type behaviors, delayed gross or fine motor skills, sensory integration issues (sound and touch sensitivity,… 
",https://www.autismparentingmagazine.com/gluten-free-diet-can-help/
17,Asperger’s Syndrome and the Power of a Good Diet,https://www.autismparentingmagazine.com/,category-autism-and-diet,"I find the suggestion that there needs to be a cure for autism an absolutely ridiculous notion. Coming as I do from a family where many of our men-folk exhibit spectrum behavior, spending much of their time in the garden shed whittling or inventing, my child fits right in with our collective history of quiet,… 
",https://www.autismparentingmagazine.com/aspergers-syndrome-and-the-power-of-a-good-diet/
18,"Six Steps to a Fun, Friendly, Family Fitness Program",https://www.autismparentingmagazine.com/,category-autism-and-diet,"“Wow, how did you get him/her to do that?,” parents often ask me. Whether their seven-year-old son just performed a jump for the first time or their seventeen-year-old daughter triumphed over a Dynamax ball squat, Sandbell slam, and bear walk combo, one of the highlights of my profession is demonstrating capabilities. And it isn’t quite… 
",https://www.autismparentingmagazine.com/six-steps-family-fitness-program/
19,Q&A Section: How does Gluten free casein free diet work and is it effective?,https://www.autismparentingmagazine.com/,category-autism-and-diet,"This is the question of the month as featured in Issue Number 7 Q: What is GFCF? A: GFCF stands for Gluten-Free and Casein-Free Q: What is gluten? A: In Living Gluten Free for Dummies by Danna Korn, “Gluten is a mixture of proteins in wheat, rye, and barley. Oats don’t have gluten but may… 
",https://www.autismparentingmagazine.com/qa-section-gluten-free-casein-free-diet-work-effective/
20,Mallory’s Marvelous Muffins,https://www.autismparentingmagazine.com/,category-autism-and-food,"I had the pleasure of reviewing Mallory’s Marvelous Muffins because they not only have the typical occasion baskets (such as holiday, get well, bereavement, congratulations, thank you, specific corporate baskets and many more) but they also have autism awareness baskets. They have many flavors of muffins, cookies, and coffee cakes. They even have customized gluten-free… 
",https://www.autismparentingmagazine.com/mallorys-marvelous-muffins/
21,Q and A Do sugary foods make children with autism more hyperactive?,https://www.autismparentingmagazine.com/,category-autism-and-food,"Sivakumari asks: My daughter loves to eat ice-cream and cake. She will get angry and scream if we do not buy it. How can I stop her from doing this? Also, it is true that sugary foods make children with autism more hyperactive? Hi Sivakumari, thanks for your questions. Your daughter is a girl after… 
",https://www.autismparentingmagazine.com/sugary-foods-children-autism-hyperactive/
22,Social Stories for Autistic Children,https://www.autismparentingmagazine.com/,category-autism-articles,"Children with autism spectrum disorder (ASD) can sometimes have difficulty when it comes to mastering social skills, as well as communication skills. The good news is there are various strategies or tools developed by experts to help people caring for children with ASD so they grow and succeed. Among these tools are the social stories… 
",https://www.autismparentingmagazine.com/social-stories-for-autistic-children/
23,Creative Ways to Help a Child with Autism Enjoy the Water,https://www.autismparentingmagazine.com/,category-autism-articles,"How does your child react in the water—with pleasure or with pain?  Does your child respond to water play with interest and excitement, or does the very mention of water create stress? Let’s look at the reasons why kids with autism spectrum disorder (ASD) react differently from one another in the water, along with some… 
",https://www.autismparentingmagazine.com/ways-helping-autism-child-enjoy-water/
24,Autism and Anxiety Disorder – The Double Diagnosis,https://www.autismparentingmagazine.com/,category-autism-articles,"Over the years, lack of eye contact from a person diagnosed with autism spectrum disorder (ASD) has been mistaken as an indication of lack of empathy or connection with others. This theory began in the 1980s when psychologists Simon Baron-Cohen and Uta Frith indicated that people diagnosed with autism were not capable of using the… 
",https://www.autismparentingmagazine.com/autism-anxiety-disorder/
25,Mental Health and Anxiety Treatment with Autism: There is Help,https://www.autismparentingmagazine.com/,category-autism-articles,"If your child has autism spectrum disorder (ASD), he/she is far more likely to have one or more additional disorders—such as anxiety, obsessive-compulsive disorder (OCD), or a mood disorder. Current estimates tell us more than 50 percent of children with ASD have significant anxiety. It’s common for high-functioning children on the spectrum to realize they… 
",https://www.autismparentingmagazine.com/mental-health-anxiety-treatment-with-autism/
26,Helping People With Autism Communicate in a Disaster,https://www.autismparentingmagazine.com/,category-autism-articles,"Lately, the news has been immersed in images of the city of Houston, Texas  swallowed by a torrent of flood water.  We’ve felt sympathy for those affected, we’ve  worried about their welfare. And we’ve all probably thought, “What if that was my family?” We hope it will never happen, but sometimes it does.  Fire, flood,… 
",https://www.autismparentingmagazine.com/help-autism-communicate-in-disaster/
27,I See You: Raising Neurotypical and Autistic Sisters with Love,https://www.autismparentingmagazine.com/,category-autism-articles,"When we brought my seven-year-old stepdaughter with autism spectrum disorder (ASD) to the hospital to see her new baby sister, her eyes filled with awe.  She sat gently at the foot of the bed, somewhat afraid to touch the wriggling squeaker in daddy’s arms. Throwing glances to my now-deflated belly and back to the wrapped… 
",https://www.autismparentingmagazine.com/raising-neurotypical-and-autistic-sisters/
28,The Awesome Rewards of a School Service Dog for Kids with Autism,https://www.autismparentingmagazine.com/,category-autism-articles,"Families navigating through the world of autism spectrum disorder (ASD) face numerous obstacles throughout everyday life. Events and situations that many people take for granted, such as owning a pet or interacting with a domesticated animal, may pose great challenges. Animals, especially dogs, are an integral part of American culture. As individuals with autism learn… 
",https://www.autismparentingmagazine.com/service-dog-for-kids-with-autism/
29,Signs of Autism in Infants and Children,https://www.autismparentingmagazine.com/,category-autism-articles,"Early signs of autism spectrum disorder (ASD) can be detected in infants, yet many children with autism do not receive a diagnosis until the ages of two or three. While not every autistic baby is able to be diagnosed as an infant, there are many benefits to receiving a diagnosis before reaching preschool age. According… 
",https://www.autismparentingmagazine.com/signs-of-autism-children/
30,How Do You Explain Autism? A Personal Look,https://www.autismparentingmagazine.com/,category-autism-articles,"“What’s his autism?” asks my son, whom I’ll call Caleb, as we are packing his bag for swim team practice. He’s talking about a school friend who, like him, is on the spectrum. “What do you think it is?” “Well,” he says, “he gets frustrated when the schedule changes, just like I used to.” “So… 
",https://www.autismparentingmagazine.com/explaining-autism-personal-look/
31,Successful Indian Head Massage for People with Special Needs,https://www.autismparentingmagazine.com/,category-autism-articles,"Ollie was slow to speak—I believe he was intensely absorbing instead! For the first three years of his life, he appeared to be on total sensory overload. As he grew, it became increasingly clear that he was very bright, but he lacked the ability to read and process faces and body language or to second… 
",https://www.autismparentingmagazine.com/indian-massage-for-autism/
32,Immerse Yourself in a Tale of Courage – Fire of Dreamsville,https://www.autismparentingmagazine.com/,category-autism-articles,"Fire of Dreamsville is a psychological fiction about a young boy with autism and his journey through paranormal experience. Except, it is much more than that. The style of writing shows the veritable rollercoaster ride that autism parents and family know all too well, while the story’s premise tackles some of the issues that only… 
",https://www.autismparentingmagazine.com/tale-of-courage/
33,Perfect Chase: One Reflection of Autism,https://www.autismparentingmagazine.com/,category-autism-articles,"Perfect Chase: One Reflection of Autism is a heartfelt children’s book about siblings sharing the invaluable lessons of true friendship, empathy, unconditional love and understanding—as taught to them by their autistic (and perfect) brother, Chase. Our mission is to provide a realistic story about autism that school children can relate to, with the goal of… 
",https://www.autismparentingmagazine.com/reflection-of-autism/
34,New Book Reveals a Unique Autism Perspective,https://www.autismparentingmagazine.com/,category-autism-articles,"Author Samantha Craft first discovered she had Asperger’s syndrome while working toward her degree in Mental Health Counseling. Craft, whose second oldest son had been diagnosed with Asperger’s syndrome over a decade prior, was all too familiar with the subject of autism. She had studied, worried, and gone head-to-head with behavioral specialists and psychologists concerning… 
",https://www.autismparentingmagazine.com/books-unique-autism-perspective/
35,Seven Days to Goodbye,https://www.autismparentingmagazine.com/,category-autism-articles,"For one year, Trina, a puppy raiser, has trained her first service dog, Sydney.  At the end of her beach vacation, Sydney must be returned to be complete his final training and be matched to his forever companion. As emotional as this event is, Trina’s newly strained friendship with her best friend, Sarah, makes the week even… 
",https://www.autismparentingmagazine.com/seven-days-goodbye/
36,A Spot on the Wall,https://www.autismparentingmagazine.com/,category-autism-articles,"When a clinician writes a book about autism, it is based only on his practical experience with a client.  When a parent/educator writes such a book, it is based on a lifetime of memories and real life experiences complete with the surprises and shocks as well as the joys and heartaches of each.  Rarely does… 
",https://www.autismparentingmagazine.com/a-spot-on-the-wall/
37,Living in Two Worlds: On Being a Social Chameleon With Asperger’s,https://www.autismparentingmagazine.com/,category-autism-articles,"The book is a memoir detailing life growing up on the autism spectrum. PLAY NICE It’s a cloudy day out. I follow Corey and a few other boys over to the side of the school where some of the kids race the buses as they come in, dropping more kids off.  Corey and his friends… 
",https://www.autismparentingmagazine.com/aspergers-living-two-worlds/
38,New Book Provides Advice on How to Become Your Child’s Strongest Advocate,https://www.autismparentingmagazine.com/,category-autism-articles,"As a parent of a child with extra special needs, there’s always a lot going on. Parents can be overwhelmed by child development experts, complex funding, and disability systems. There is frustration with aspects of their child’s school and therapy programs. With the constant juggling act, there is little time or energy to navigate through… 
",https://www.autismparentingmagazine.com/advice-becoming-childs-advocate/
39,Touching New Memoir Explores Life with High-Functioning Autism,https://www.autismparentingmagazine.com/,category-autism-articles,"Asperger’s on the Inside is an honest and moving memoir by Michelle Vines about life on the high-functioning end of the autism spectrum.  In her book, Michelle takes the reader with her on her journey as she slowly comes to terms with and accepts her diagnosis.  She also explores her past and tells her story… 
",https://www.autismparentingmagazine.com/high-functioning-autism-life/
40,Inspirational Book Gives Real-World Look at Autism Journey,https://www.autismparentingmagazine.com/,category-autism-articles,"  Passion for the Piece is Cyndi Sibley’s story about coming to terms with her daughter’s autism. The diagnosis of autism can be devastating. When doctors told Cyndi Sibley that her young daughter, Jackie, was on the autism spectrum, Cyndi became an activist in the community.  She has made it her mission to erase the… 
",https://www.autismparentingmagazine.com/inspirational-book-autism-journey/
41,What’s New on the Bookshelf: AMULET,https://www.autismparentingmagazine.com/,category-autism-articles,"Amulet is a magical story of cave dwellers, clowns and vegetarian dragons. Eleven year old Dion has Asperger’s. The structure Dion so heavily relies on falls apart when he is kidnapped and taken to a mysterious land. With his life now in danger; he will have to use all the skills he has been taught,… 
",https://www.autismparentingmagazine.com/autism-books-amulet/
42,Mental Health and Anxiety Treatment with Autism: There is Help,https://www.autismparentingmagazine.com/,category-autism-articles,"If your child has autism spectrum disorder (ASD), he/she is far more likely to have one or more additional disorders—such as anxiety, obsessive-compulsive disorder (OCD), or a mood disorder. Current estimates tell us more than 50 percent of children with ASD have significant anxiety. It’s common for high-functioning children on the spectrum to realize they… 
",https://www.autismparentingmagazine.com/mental-health-anxiety-treatment-with-autism/
43,Signs of Autism in Infants and Children,https://www.autismparentingmagazine.com/,category-autism-articles,"Early signs of autism spectrum disorder (ASD) can be detected in infants, yet many children with autism do not receive a diagnosis until the ages of two or three. While not every autistic baby is able to be diagnosed as an infant, there are many benefits to receiving a diagnosis before reaching preschool age. According… 
",https://www.autismparentingmagazine.com/signs-of-autism-children/
44,Successful Indian Head Massage for People with Special Needs,https://www.autismparentingmagazine.com/,category-autism-articles,"Ollie was slow to speak—I believe he was intensely absorbing instead! For the first three years of his life, he appeared to be on total sensory overload. As he grew, it became increasingly clear that he was very bright, but he lacked the ability to read and process faces and body language or to second… 
",https://www.autismparentingmagazine.com/indian-massage-for-autism/
45,Low Functioning Autism – What Sets it Apart,https://www.autismparentingmagazine.com/,category-autism-articles,"What is low functioning autism? Low functioning autism falls on the more severe end of the autism spectrum. Children diagnosed with this form of autism need more support to complete daily tasks as they struggle to communicate and manage their behaviors. Symptoms are typically identifiable in infancy or early childhood, as those diagnosed will not… 
",https://www.autismparentingmagazine.com/low-functioning-autism/
46,Amazing Ways Chiropractic Therapy Can Benefit Kids with Autism,https://www.autismparentingmagazine.com/,category-autism-articles,"Encopresis is a common struggle for autistic children. The scientific term comes from the Greek en– (“inside”) and kopros (“stool”).  In other words, “you have poop stuck inside you.”  When simple constipation turns into a hard, dry blockage, soft stool leaks around the block. The child usually can’t control the leakage. Often, the encopresis develops… 
",https://www.autismparentingmagazine.com/autism-chiropractic-therapy-benefits/
47,Expert Advice on How to Help Girls Handle Menstruation,https://www.autismparentingmagazine.com/,category-autism-articles,"You can’t change the radio channel fast enough. You’ve had a bad day, and you can’t make up your mind what you want to want to listen to. You scan the radio channels like you are looking for a needle in a haystack.  Then you hear it. That old song that takes you back to… 
",https://www.autismparentingmagazine.com/helping-girls-handle-menstruation/
48,How to Use Peripheral Vision to Engage Your Child with Autism,https://www.autismparentingmagazine.com/,category-autism-articles,"It’s a PARTY. You hold an ice cream cone in front of a child’s face, and it creates a party in the brain. The child’s brain activity goes wild and sees nothing to the left or right, only seeing what’s in front of him/her. What some may not know is with a child with autism,… 
",https://www.autismparentingmagazine.com/peripheral-vision-for-child-with-autism/
49,The Critical Need for Self-Care: The Oxygen Mask Rule,https://www.autismparentingmagazine.com/,category-autism-articles,"For anyone who has ever flown, the oxygen mask safety speech is a routine part of boarding.  Frequently, it falls into the background as we adjust ourselves in preparation for several cramped hours in the sky. But, that speech carries a beautiful message regarding self-care. The Oxygen Mask Rule is simple: if the cabin loses… 
",https://www.autismparentingmagazine.com/self-care-oxygen-mask-rule/
50,Mom Creates Job Practice Opportunity for Young Adults with Autism,https://www.autismparentingmagazine.com/,category-autism-articles,"For parents who have a child with autism, a deep frustration can exist once the child has completed his/her education and faces employment challenges as a young adult.  When Park Ridge, IL resident Cindy Montgomery recognized the disconnect between transition services for her son with autism and true employment opportunities for him, she created Teachability,… 
",https://www.autismparentingmagazine.com/mom-creates-job-practice-opportunity/
51,How to Recognize the Medical Comorbidities of Autism,https://www.autismparentingmagazine.com/,category-autism-articles,"The etiology of autism, though still a mystery, is believed to be a combination of genetic and environmental factors.  Autism is thought to develop sometime during pregnancy and the first three years of life (early-onset autism) or, as in regressive or late-onset autism, some children appear to have developed normally until 12-24 months before losing… 
",https://www.autismparentingmagazine.com/recognize-autism-medical-comorbidities/
52,Autism and Anxiety Disorder – The Double Diagnosis,https://www.autismparentingmagazine.com/,category-autism-articles,"Over the years, lack of eye contact from a person diagnosed with autism spectrum disorder (ASD) has been mistaken as an indication of lack of empathy or connection with others. This theory began in the 1980s when psychologists Simon Baron-Cohen and Uta Frith indicated that people diagnosed with autism were not capable of using the… 
",https://www.autismparentingmagazine.com/autism-anxiety-disorder/
53,Helping People With Autism Communicate in a Disaster,https://www.autismparentingmagazine.com/,category-autism-articles,"Lately, the news has been immersed in images of the city of Houston, Texas  swallowed by a torrent of flood water.  We’ve felt sympathy for those affected, we’ve  worried about their welfare. And we’ve all probably thought, “What if that was my family?” We hope it will never happen, but sometimes it does.  Fire, flood,… 
",https://www.autismparentingmagazine.com/help-autism-communicate-in-disaster/
54,Top Ways a Gluten Free Diet  Can Help Kids with Autism,https://www.autismparentingmagazine.com/,category-autism-and-diet,"Recent clinical trials looking at gluten-free diets for children with autism spectrum disorder (ASD) are showing benefits worth considering. Typical indicators of autism spectrum in children may include delayed speech, lack of eye contact, impaired or non-present social skills, shyness, obsessive-type behaviors, delayed gross or fine motor skills, sensory integration issues (sound and touch sensitivity,… 
",https://www.autismparentingmagazine.com/gluten-free-diet-can-help/
55,Can Probiotics Help Your Child with Autism Feel Better?,https://www.autismparentingmagazine.com/,category-autism-articles,"As a parent, it can be difficult to watch your child struggle with the abdominal pain, constipation, and other discomfort common for people with autism. Too often, those gastrointestinal (GI) symptoms are accompanied by increased anxiety and oversensitivity. However, recent research into microbiomes may help.  Microbiomes are the colonies of bacteria within and around us… 
",https://www.autismparentingmagazine.com/probiotics-benefits-for-autism/
56,New Research Suggests Vitamin D Benefits Children with Autism,https://www.autismparentingmagazine.com/,category-autism-articles,"In 2008, Dr. John Cannell, MD, Founder of Vitamin D Council, published the first paper suggesting a relationship between low vitamin D status and an increased risk of autism. He created his hypothesis based on the data that illustrated an increased prevalence of autism in the regions of greater cloud cover and rainfall. Only observational… 
",https://www.autismparentingmagazine.com/vitamin-d-benefits-children-autism/
57,Special Needs Book Partnership Promotes Kindness and Acceptance Initiative,https://www.autismparentingmagazine.com/,category-autism-articles,"Geek Club Books, Inc., an autism nonprofit, and Someone Special Uniquely Personalized Books announced their “Kindness and Awareness” initiative to help educate children about other children with special needs. Geek Club Books creates autism awareness education and curriculum so parents and teachers can introduce important topics of autism in the inclusive classroom.  Someone Special Books… 
",https://www.autismparentingmagazine.com/book-promotes-kindness-acceptance/
58,Dad Creates Simple App to Help Autistic Son Communicate Better,https://www.autismparentingmagazine.com/,category-autism-articles,"Much has been said over the years concerning technology and education — there has been and still is an ongoing debate about how we can best implement technology into schools to the benefit of children. Our adult life on a day-to-day basis is filled with technology, from touch screens to order plane tickets to self-checkout… 
",https://www.autismparentingmagazine.com/dad-creates-simple-app-to-help-autistic-son-communicate-better/
59,Grandmother Creates Special Needs Clothing Line to Make Dressing Easier,https://www.autismparentingmagazine.com/,category-autism-articles,"I have a granddaughter who was born with Down syndrome. Her name is Maggie. As I watched her grow, I noticed that everything she wore never fit properly. The sleeves and pant legs were always way too long. She was four years old when my daughter challenged me to start a company to make clothes… 
",https://www.autismparentingmagazine.com/grandmother-creates-special-needs-clothing-line-to-make-dressing-easier/
60,Noted 13-year-old Chef with Autism Inspires Major TV Campaign,https://www.autismparentingmagazine.com/,category-autism-articles,"In many ways, Chase Bailey is a regular 13-year-old boy from California. But he is different and exceptional because he was diagnosed with autism as a toddler. Even before he started preschool, his mother Mary worked with physicians, therapists and educators to ensure that Chase would receive the kind of specialist therapy he needed to… 
",https://www.autismparentingmagazine.com/noted-13-year-old-chef-with-autism-inspires-major-tv-campaign/
61,Dentist Develops New Calming Product for Kids on the Spectrum The b-Calm – A Mother’s Review,https://www.autismparentingmagazine.com/,category-autism-articles,"When I met Dr. Ken Budke, I immediately knew he was full of energy, ambition, and innovation.  I didn’t expect to be taken with a product he invented nearly 10 years ago, the bCalm. As a dentist for 38 years, one of the primary complaints from patients was the sound of the dental drill.  This… 
",https://www.autismparentingmagazine.com/dentist-develops-new-calming-product-for-kids-on-the-spectrum-the-b-calm-a-mothers-review/
62,Mother of an Autistic Son,https://www.autismparentingmagazine.com/,category-autism-articles,"I find myself caring for the Chia Pet, Watering it and putting the little plastic bag on it so that the seeds will bloom. I’m not sure if mothers of typical kids would find themselves doing this too. Do all mothers end up feeding their kids’ puppies and watering their kids’ plants? How much should… 
",https://www.autismparentingmagazine.com/mother-of-autistic-son/
63,Before…,https://www.autismparentingmagazine.com/,category-autism-articles,"Before you were born we thought we knew what to expect. Before you were born I had your life all planned out. Before you were born we made everything perfect. Before you were born I just knew who you’d be. Before you were three I noticed something strange. Before you were three we lost our… 
",https://www.autismparentingmagazine.com/before-autism-poetry/
64,Autism,https://www.autismparentingmagazine.com/,category-autism-articles,"I have this gorgeous nephew you should see his beautiful face And I watch him wonder back and forth seemingly lost within this place Although he speaks, it’s very rare and he often walks around The melt down that he has sometimes sees him roll upon the ground His favorite thing is his trampoline he… 
",https://www.autismparentingmagazine.com/poem-autism/
65,Levels,https://www.autismparentingmagazine.com/,category-autism-articles,"A blur of colors, lights, and sounds People moving People who might try to interact with me Even though doing so would be as strange as interacting with an alien Level 3 That building stress inside me as I try to press through and do Life Cackling voices, high and low, blending together, deafening A… 
",https://www.autismparentingmagazine.com/levels-living-fulfilling-life/
66,Light and Shadow,https://www.autismparentingmagazine.com/,category-autism-articles,"Lost and lone in the darkness of my chaotic world show me the way to walk to yours Be my interpreter as I travel with you teach me the words that end my silence Hold me on my outbursts my terrible fears of realizing how different your world is to me Give me the clues… 
",https://www.autismparentingmagazine.com/light-and-shadow/
67,Social Stories for Autistic Children,https://www.autismparentingmagazine.com/,category-autism-articles,"Children with autism spectrum disorder (ASD) can sometimes have difficulty when it comes to mastering social skills, as well as communication skills. The good news is there are various strategies or tools developed by experts to help people caring for children with ASD so they grow and succeed. Among these tools are the social stories… 
",https://www.autismparentingmagazine.com/social-stories-for-autistic-children/
68,Signs of Autism in Infants and Children,https://www.autismparentingmagazine.com/,category-autism-articles,"Early signs of autism spectrum disorder (ASD) can be detected in infants, yet many children with autism do not receive a diagnosis until the ages of two or three. While not every autistic baby is able to be diagnosed as an infant, there are many benefits to receiving a diagnosis before reaching preschool age. According… 
",https://www.autismparentingmagazine.com/signs-of-autism-children/
69,"Autism, Head Banging and other Self Harming Behavior",https://www.autismparentingmagazine.com/,category-applied-behavior-analysis-aba,"For children with autism spectrum disorder (ASD), head banging is a common way to self-soothe and communicate needs. Both neurotypical and autistic babies and toddlers seek to recreate the rhythm that stimulated their vestibular system while in utero. Other rhythmic habits that fuel a child’s kinesthetic drive include head rolling, body rocking, biting, and thumb… 
",https://www.autismparentingmagazine.com/autism-self-harm/
70,The Best Academic Choice for Your Child’s Needs – A Special Guide to Educational Options,https://www.autismparentingmagazine.com/,category-autism-articles,"As parents who quickly become attuned to our child’s strengths, struggles, and achievements, it can be daunting to imagine handing our kid off to a teacher come August. We hope these new adults in our child’s life understand our child just as well as we do. Selecting the right academic environment for your student may… 
",https://www.autismparentingmagazine.com/educational-options-special-guide/
71,Helpful Links,https://www.autismparentingmagazine.com/,category-autism-articles,"Big Apple Oranges – The resource for NYC special needs children and their families Why the name ‘Big Apple Oranges’? Well, Big Apple refers to New York City and this guide is for families with special needs children in the 5 boroughs (although the laws and regulations are state-wide). The orange, like the apple, is… 
",https://www.autismparentingmagazine.com/helpful-links/
