post id,title,text,href,user id,mother post id
11,Autism Recovery Success Story,"
Your post is very touching and inspirational. I can understand your feelings when your daughter stared at you for the first time.  That feeling is just beyond expressing. 
Hope now your daughter is doing good and is successful in her life! God Bless!
",http://ehealthforum.com/health/autism-recovery-success-story-t351300.html,784855,6
12,increased intracranial pressure associated with autism,"
It is known that there is an increased intracranial pressure associated with autism and with alzimers 
And intraocular pressure is a good indicatior of intracranial pressure 
So are there any large patient studies ongoing exploring and gathering data of checking intercrainal pressure via interocular preasure?
And could possible shunt placment upon early detection help treat these desease?
",http://ehealthforum.com/health/increased-intracranial-pressure-associated-with-autism-t512431.html,779182,11
13,Absent-mindedness/forgetfulness/unable to retain information,"
After sustaining a head injury at the age of 5, it has been difficult for me to pay attention to others, remember anything, and I believe I have been absent-minded for the majority of my life. It's as if I am in a trance-like state, where nothing really exists in my mind. 
Even though I managed to get into a grammar school, I was always a remarkably poor student. I failed GCSE science and geography and my other grades were merely Cs. But I did 'accomplish' two terrible A Levels. 
At the age of 22 I attempted to kill myself because of feelings of hopelessness and inadequacy. 
Subsequent to the failed attempt to take my own life, I was diagnosed with borderline personality disorder, depression and anxiety. 
However, three years later I was diagnosed with an autism spectrum disorder, which somewhat explains why it is so difficult for me to relate to other people. 
I am trying to discern if there's something fundamentally wrong with my brain, or if my problems are related to autism and depression. I believe my frontal lobe may be damaged after the aforementioned accident that occurred when I was 5. I also suspect that I might have a form of inattentive ADHD.
",http://ehealthforum.com/health/absent-mindedness-forgetfulness-unable-to-retain-information-t509071.html,777338,12
14,Absent-mindedness/forgetfulness/unable to retain information,"
I currently take 20mg of paroxetine, which helps with anxiety but I still feel somewhat disconnected and never seem to retain anything in any medium.
",http://ehealthforum.com/health/absent-mindedness-forgetfulness-unable-to-retain-information-t509071.html,777338,12
15,Absent-mindedness/forgetfulness/unable to retain information,"
After looking at your situation I believe that I have lived through a similar experience and that I may be of some help. Allow me to share my personal experience with anxiety and depression. 
I used to associate depression or anxiety with people who were sad and cried all the time. I also thought depression was caused by a massive life trauma such as a loved one dying or job loss etc; I was wrong. I was quite confident in secondary school; I was academic, outgoing, with a big group of friends. As soon as I moved back home after my first college flop in DCU it all started to change. It's easy to think ""he's a young man, sure what would he be anxious or sad about?!"" - but age, gender, social background etc... make no difference when it comes to anxiety.
In early 2012 I noticed I was full of self-doubt, always looking for reassurance from others in all aspects of my life, unmotivated, highly anxious and generally miserable. Instead of talking about this I relied heavily on alcohol - as a young person, this is seen as relatively normal. Drinking is the a main past time for young people of our generation so I didn't see it as a major problem. But if anything, it fuelled my low moods and anxiousness. When I returned back to college, my mood picked up for a while but over the course of the next year or so it would deteriorate again
I went to the doctor almost fortnightly, not wanting to believe it was depression I wanted to check every other avenue - was it a hormonal imbalance, something wrong with my glands or pancreas, was it a bad side effect to the pill.. absolutely anything. I demanded endless blood tests but eventually I accepted the fact when told by my doctor. At the start of 2015 my depression reached its peak; I was irritable, mood swings like no tomorrow, my anxiety almost bordered paranoia at some stages. All I can describe it as is like the daily version of ""The Fear"" - like what most of us experience after a heavy nights drinking, however this ""fear"" would occur almost daily. I was nauseous, a sense of guilt (even when I'd done nothing wrong) and extremely paranoid. If a friend didn't text back I'd assume they were mad at me for some ridiculous reason - my head was an abundance of irrational thoughts, constantly.
 
From the moment I woke up to the moment I went to bed, completely irrational thoughts would takeover my mind. Causing me to be emotionally and mentally drained. My sleep suffered - if I did sleep it would be broken. I felt the need to explain myself constantly to others and when I tried to do so it would make no sense whatsoever, worsening things for myself and getting myself even more worked up. I would over analyse every single situation I found myself in, to the most ridiculous lengths. My head felt ""addled"" and full, concentrating was hard and God forbid I had to study because that was impossible due to my level of procrastination. My part time work even suffered and I had no choice but to take time off. To be brutally honest I thought I was losing my mind, that is how overwhelming it was.
It is important to talk to people but you must be aware not all people will act as you would hope. Some people will never grasp what is going on inside your head and will label you as ""crazy"" and ""psycho,"" they will tell you it's all in your head and to essentially get over it, others will avoid the topic and isolate you until they think the problem has magically resolved itself - this however is a minority group, thankfully. The majority of the support system I had around me were amazing; some of them will never understand the importance they played in my coping - some of my friends would endure nonsensical phone calls with me wailing down the phone until I calmed down, others coming to my house while I just napped because I was so mentally exhausted and then of course the crazy irrational messages if my mind was in overdrive they would get from time to time.
 
My family were also very supportive; My Dad would notice I was upset and would only have to ask me what was up for me to let it all out to him while he simply listened and let me cry. My mother on the other hand would let me cry on the phone to her but then be on hand to give me solid advice on what to do. An understanding friend or family member is actually such an incredible help, people who suffer from anxiety or depression need non-judgemental support. You would be surprised at how much difference this would make, or if you are not a great person in these situations, even giving this person advice on where to turn such as counselling, suggesting they seek advice from their GP or speaking to their family in confidence. Judging an anxious person will only make them worse - the whole outlook of a person suffering from anxiety is the fear of judgement and feeling inadequate.
Don't get me wrong, I'm not a ball of anxiety all the time, but it is always niggling in the back of my mind. I primarily wrote this piece because I honestly thought that I was the only one feeling this way - I thought I was going crazy... So my message to others is; more people suffer from this than you realise, believe me. There are many ways to combat this; I would recommend talking to your Doctor or a local counsellor. Certain things work for different people; if I'm stressed I will walk for ages while listening to music. Others have mindfulness techniques, meditation - there are many different coping mechanisms.
Worrying the odd time, or getting stressed in certain situations such as before a big match or job interview is perfectly okay and having the occasional bad day or week here or there is completely normal as well - but when you feel like you can't function or do normal day to day things because you're feeling particularly anxious or low that's when you should seek some help.
If this helps you I will be absolutely delighted. I have included a few useful resources for anyone who may need them as I personally myself have used and can say I am indeed feeling a lot better now. 
",http://ehealthforum.com/health/absent-mindedness-forgetfulness-unable-to-retain-information-t509071.html,778666,12
16,"anyone here not use the word ""disability""?","
Our 2.5yr old was recently diagnosed with Autism. I'm having a difficult time saying its a ""disability"". A lot of what I've read says early intervention is great & many people live to have completely NORMAL lives. I dont want to call it a disability or gifted. I dont want our 4yr old to feel less than or not equal. I thought maybe ""super power"", but my 4yr loves his super heros...is that a bad idea!? I dont know.
  I'm trying to find ways to explain this to our 4yr in ways that he will understand. Also have to tell people. Family & friends. What does your family call it? How did your family share the news, how did you explain to the sibling(s)??? any details or advice would be greatly appreciated. =)
",http://ehealthforum.com/health/anyone-here-not-use-the-word-disability-t507272.html,776534,15
17,"Autism, I have 3 year old twin girls recently diagnosed.","
I'm new to the forum and wanted to see if anyone was here to offer advice on autistic toddlers? I have 3 year old twin girls recently diagnosed.
",http://ehealthforum.com/health/autism-i-have-year-old-twin-girls-recently-diagnosed-t503978.html,772958,16
18,Asperger's/Mild autism + Physical disability. Eligible for SSI?,"
SHORT VERSION:
I'm posting this in the hope of helping a good friend. Here's her basic information.
-23 years old.
-Aspberger's or mild autism.
-Small body size and very limited physical capability.
-Mental health issues including self harm.
-Never gainfully employed. Fired from simple, tips-only job, five hours, one night a week.
-Unable to concentrate on anything even vaguely tedious, no matter how simple.
-Destructively impatient and overly emotional. Prone to rages.
-Uninsured. (Pending due to ACA.)
-Facing poverty and homelessness.
I used the preliminary test (B.E.S.T.) on the SSA website to see if she might be eligible for SSI, and it found that she might be eligible. Does anyone have any experience with this?
FULL EXPLANATION:
A good friend of mine is somewhere on the shallow end of the autism scale. She's intelligent but has poor (and by poor, I mean virtually nonexistent) concentration for any task which she finds too ""disorganized"" or ""stupid."" She's impatient to the point where it stops her from performing simple tasks.
She was unable to complete the opening of a PayPal account to sell some handmade items she makes. She became frustrated and infuriated almost instantly upon seeing that the website had text she had to go through and was unable to figure out how to work the site, even though it's quite user friendly and she's very computer literate. I could not convince her to try to be patient and learn to use it. The volume of unengaging text rendered her completely nonfunctional at this task. She went into a rage-filled panic attack.
She also has some serious physical maladies. She's 23 years old, about 5""2', and weighs 80 pounds. She has been underweight all her life and it's nearly impossible for her to gain weight. She has renal glycosuria (she excretes sugar instead of retaining it) and may be having episodes of hypoglycemia. She's predictably unable to lift much weight and becomes exhausted easily. I've done volunteer work with her and she's nearly incapable of physical labor.
She may also have some pressing mental health issues and has engaged in self harm. (She has sharpened her fingernails to better scratch her own face.) She's emotionally unstable, becoming unreasonable and overly angry or sullen when she's upset, and she focuses on and magnifies small problems. She becomes angry, petulant, and rude when things do not go as she expects or plans, and she frequently alienates people. She's sometimes paranoid that people are judging, manipulating, or trying to harm her and may react to individuals as though they are actively doing so. She's known to fly into rages and, in spite of her small size, has managed to overturn and destroy things when she does. A few months ago she destroyed her iPhone when she threw it.
She is very creative and has a high I.Q., but she has never been gainfully employed and I seriously doubt her ability to do tasks such as paperwork. She has worked for tips as a point-and-click disc jockey in her uncle's club, using his music and equipment. This was five hours one night a week, but she fought with her uncle and was fired. She's capable of doing creative or engaging tasks with infinite patience but dissolves completely when faced with anything outside her realm of understanding.
She's currently living with her mother (who is chronically unemployed, alcoholic, and no help at all) and great-grandmother, who is the homeowner, 91, and declining. They will not inherit her home. My friend's options will be extremely limited when her great-grandmother dies.
I'm very seriously concerned that my friend will not be able to maintain employment. I'm doing this for her because, as near as I can tell, she won't/can't and no one else will help her. I want to help her apply for SSI so she'll have some kind of financial security.
",http://ehealthforum.com/health/asperger-s-mild-autism-physical-disability-eligible-for-ssi-t420171.html,667056,17
19,Asperger's/Mild autism + Physical disability. Eligible for SSI?,"
A lot of the emotinal instibility could be do to her mothers alcholism, or the thing that caused it; much of the time it isnt just one thing that's the problem, but many and its best to try to help in wide varitey of ways,for the best effect, it is a possibley that she dosent agree with soem of her mental diagnoses and blames it on other things in her life and maybe if she realley dosent(to her or in reality) it could be one of the causes of anger etc. With aspergers or autism diagnoses or possibley more you can get a bit of SSI money or disabitly  money but im not sure how much, best to call in your questions to an orginization; i dont know whast best for her but you should know no matter what keep trying and fighting and in the end both of you will win; sorry i couldnt be much more help goodluck.
",http://ehealthforum.com/health/asperger-s-mild-autism-physical-disability-eligible-for-ssi-t420171.html,668662,17
20,Am I Autistic ?,"
Hi,
I'm a 18 year-old boy and I think I might be autistic. With language I seem to not have severe problems, in fact I learned to speak at an early age (9 months) and I learned reading Latin words by myself at 3 years old (my native language is arabic) ,I don't know how I did that and even my friends say I'm lying but I'm not, I can remember things that happened when I was 2 and 3 years old, I'm good at remembering things, As a child I used to hit my head on the wall for minutes when I get angry, My mom told me I was obsessed with seeing how things work (like cars or carnival's attractions) , I was really different from other kids and I hated so much interacting with people and I still do (I hate weddings, birthdays and all kinds of ceremonies). When I was a kid I was too emotional with my stuff and I thought they were alive and I felt distress when my mom threw something mine or when I had to replace my bed and desk. Also I started wondering about my existence and life in general since a very young age, I always was obsessed with computers since I was 4 and I became now obsessed with computer programming. I'm good at maths but not really good in languages. I have a few male friends but no girls, no girlfriend and I'm extremely shy with girls.
So,  could I be autistic ?
",http://ehealthforum.com/health/am-i-autistic-t414569.html,655780,19
21,Am I Autistic ?,"
I would suggest trying to convince your parents to let you see a psychologist. The thing is autism is mainly diagnosed on behavioural cues amongst other things. Accordingly, it is not accurate to even suggest autism. 
Best of luck.
",http://ehealthforum.com/health/am-i-autistic-t414569.html,630934,19
22,Am I Autistic ?,"
I don't think it's autism, just coz you're not really sociable. Why don't you become more open-minded? It's gonna much helpful in this case...hopefully...
",http://ehealthforum.com/health/am-i-autistic-t414569.html,636643,19
23,Autism in children during pregnancy,"
pregnant women who require drugs to have their labor started or sped up are slightly more likely to have autistic children. 
",http://ehealthforum.com/health/autism-in-children-during-pregnancy-t409556.html,645063,22
24,Autism in children during pregnancy,"
Do you have any actual proof of that? There was a time when people thought the MMR vaccine gave children autism and that was disproved.
If this was the case, more women would be refusing induction and there would be something on the news about it.
It doesn't seem fair going around saying this when pregnancy and labour is a worrying time for any woman. 
For the child to be of the autistic spectrum one or both parents would need to carry the gene. If this is the case whether the mother is induced or not she may still have a child that falls on the autistic spectrum.
My step son is on the autistic spectrum and if you were to meet him, you'd think he was a normal child. But he has certain traits that puts him in the spectrum. The Spectrum for autism is huge and ranges so much from mild to extreme.
",http://ehealthforum.com/health/autism-in-children-during-pregnancy-t409556.html,359361,22
25,autism and schizoaffective disorder,"
Hi, my name is Tina and I have a 10 year old brother who was diagnosed with Autism. He has Autism because he got mercury poisoning on his brain from the themerisol in his vaccines. He also inheirited a mutate MTHFR gene from both his parents (my mom and step dad). He is non verbal, can not have a communication device because he was ""Steaming?"" off of it more than he was using it, he knows a little sign language (mainly uses signs for yes, and more) and we have always been able to know when he is upset or doesn't want something to be happening. He started getting really aggressive and trying to hit people and it just has been getting worse and worse. He doesn't want anyone to talk at all, not at all. He covers his ears a lot now and has a lot of melt downs (several a day) and hasn't been able to sleep at all really (maybe a few hours a night,at best) and when he does get to sleep it isn't really deep sleep and he's up several times a night headed to my mom and step dads room trying to hit them (he has been hitting very hard, not holding back or stopping at all). He's been diagnosed with everything under the sun in addition to his Autism (Bi Polar, Manic, Epilepsy, depression) and recently he completed a carbohydrate specific diet that completly clean out his intestines. He was taking mostly vitamin or natural supplements, with the exception of Zoloft liquid. He doesn't eat dairy, wheat, gluten, or dyes . We get special flour and recipes to maintain this diet. He drinks mostly carbonated mineral water (with flavor, but no sugars or dye)His exceptional quality is that he is a wiz at using anything electronic, computers being his specialty!! He can run a computer fowards and backwards, he always knows what steps produce what results and he can troubleshoot them really well. He remembers everything, he only has to see someone (just see, not be shown) how to do something, anything, ONE maybe TWO times before he knows how. He is wonderful and we all love him with all our hearts!! Recently he was also diagnosed with Schizoaffective Disorder. They have him taking Seraquil now and after he gets better sleep for a while they are going to put him on a mood stablizer. I would appriciate any thoughts on this topic, but more than anything, I would like any support you can offer my mother and step father who are under a huge amount of stress right now. Please help put hope and support back into their lives!!!
",http://ehealthforum.com/health/autism-and-schizoaffective-disorder-t204315.html,225431,24
26,autism and schizoaffective disorder,"
Theres always hope, i am 19 and have been diagnosed with schizoaffective bipolar disorder this past year, along with autism when i was younger but theres always ways to fight everything.  I manipulate the negativity i get from them and transform it into a semi-autobiography with life stories, hallucinations, delusions, philosophy, combined with other parts of stories changed with my theme and characters, also currently in college working my way to become a psychiatrist.  So never let go of hope because no matter how little something seems, it doesnt mean its not there and cant grow.  Have a good day and take care!
-Marc Syd
",http://ehealthforum.com/health/autism-and-schizoaffective-disorder-t204315.html,233292,24
27,autism and schizoaffective disorder,"
I feel for you both, I am a mother of a almost 5 yr old, son, who regressed into nonverbal autism , moderately severe after vaccine injuries, whom is violently aggressive, and I believ he may also have schizoaffective disorder too, and I am desparetly looking for answers and help for my little boy. this is soo hard. he hits and screams and is sooo violent, but then is soo loveable and afraid after like two different kids, and cant talk so I don't know what is wrong
",http://ehealthforum.com/health/autism-and-schizoaffective-disorder-t204315.html,687929,24
28,"Autism, how to get my child to sleep on his own","
I am the single mother of a 7 year old autistic son who refuses to sleep on his own. He goes to sleep on his own but wakes every night between midnight and 3am and demands I lay down with him in his bed and if I try to get back in my bed, he will melt down for hours so I give in just to get sleep. Any suggestions or recommendations will help PLEASE
",http://ehealthforum.com/health/autism-how-to-get-my-child-to-sleep-on-his-own-t441473.html,704882,27
29,Benefits of Autism Schools to Support Your Child's Education,"
If your child has autism, schools that specialize in this condition can be extremely beneficial. The earlier this type of education begins, the more benefits your son or daughter will receive.
A Nurturing Environment
Autism schools are equipped to handle mental and social development issues associated with the condition. Teachers receive intensive training on how to work with students and help them with social interaction. In many cases, these children feel compelled to perform certain repetitive behaviors such as stacking items into towers or placing them in a straight line. Teachers know how to work with these behaviors and can help students organize their lives in the same manner they organize items such as toys.
Public education is based in large part on a student's ability to interact with others. However, since most autistic children lack this ability, they can often feel lost and discouraged. Many autism schools are set up in a way that lessons are broken up to aid individual learning while also allowing children remove themselves from a social setting before they become upset. In addition, children will not have to deal with the teasing and ridicule that is often associated with the traditional education model.
Playtime is another area where autism schools are substantially different from their traditional counterparts. These schools design assessments in a way to determine whether or not there are other developmental issues that need to be addressed. Their tests may be comprised of tasks such as arranging letters on a magnetic board or sorting blocks by color. These differ significantly from public education tests that require students to take written examinations to prove they've absorbed knowledge mandated by state or federal requirements. These type of tests can be yet another source of frustration for children born with the condition.
A Different Alternative
The mainstream option of autism can be incredibly difficult to bear for children who can't properly interact with their peers. It can be heartbreaking for a parent to see his or her child ostracized because their differences make it hard to fit in. These children may be labeled as ""difficult"" by their teachers and fall behind in class as a result. Anytime children with this condition have to deal with large groups or overly stimulating settings, they can have a very hard time.
Autism schools provide a healthy alternative that can help children thrive through programs tailored to their exact needs. Just as with any important decision, however, you have to choose carefully to make sure you find the facility that will be the best fit for your child. If you have any friends or family members who have gone this route, talk to them and see if they have any recommendations. Check the Internet for reviews of different facilities you're considering to see what others are saying. The more confident you are in your final choice, the more likely your child will have an extremely positive learning experience.
",http://ehealthforum.com/health/benefits-of-autism-schools-to-support-your-child-s-education-t445799.html,711077,28
30,Can Aspergers Develop to Autism?,"
I'm 26 and I just realized I have Aspergers. I didn't know what Aspergers was unti I did a survey (I take at least 7 different surveys online daily).After doing a little research,I realized that I have all the traits of Aspergers and to make matters worse am an Introvert!I'm worried.Can it develop to Autism if I have Children?
I'd really like to know
",http://ehealthforum.com/health/can-aspergers-develop-to-autism-t427595.html,666891,29
31,Can Aspergers Develop to Autism?,"
You can not determine if you have aspergers via an online test,(my partner has it and i work with an animal theraphy program in a school which holds many people with disorders)And aspergers is a FORM on austism. I might be only 24 but clearly your skills in research are lacking. Austism is measured on a spectrum, aspergers is a lessor form of austism being it affects the behaviour of people but not the physical tracts i.e looks  of people. Please seek help in seeing if you are a person who has aspergers by going to medical professionsal ( also just so its clear Albert einstein has aspergers!) austism doesn't mean someone is broken in anyway it just makes them different.
",http://ehealthforum.com/health/can-aspergers-develop-to-autism-t427595.html,684351,29
32,Can Aspergers Develop to Autism?,"
Thanks for your reply and don't think that I rushed to conclusions 
Ever since I learnt about aspergers,I've been doing a lot of research on it.Again don't think that I rush to conclusions but I noticed that I have more than 80% of the physical traits.
Thanks for your help.
",http://ehealthforum.com/health/can-aspergers-develop-to-autism-t427595.html,666891,29
33,HFA - High Functioning Autism,"
Remebering Dreams
Why is it that my brother with High Functioning Autism, ADD and OCD never remembers any of his dreams. He is 17 and whenever I ask him what was his dream he would say he doesn't remember or obviously makes something up. I would assume that he is just making it up because he would say something that is related to his current area of interest. Is it the same with your kids?
",http://ehealthforum.com/health/hfa-high-functioning-autism-t395381.html,607499,32
34,HFA - High Functioning Autism,"
Thank you for asking!
   Sleep cycles of REM are responsible for dreams and the kid might be saying the truth as most of the dreams are forgot the moment seen in the REM cycle. Get him to a sleep disorder specialist and asses is sleep patterns.If there is nothing to worry about then stop worrying. Some dreams are just not to share even if remembered. Not a big deal.
 Take care
",http://ehealthforum.com/health/hfa-high-functioning-autism-t395381.html,676795,32
35,30 months autism?,"
My son is 30 months is currently in speech therapy bc he barely says 7 words he is currently in OT also bc he is very hyper just constantly on the go wont set for longer than 2 mins at the most. He doesn't like to play with certain types of things such as paint. He seems at times to not hear you I can say his name two or three times su=ometimes before he looks at me. And very reluctant to follow direction. He just seems very different than other kids his behavior is often bad not listening an throwing little tantrums he also has no interest in toys he much rather play on ipad or watch his favorite movies. He will acknowledge other children but less interested very quickly. Just some of the expressions and hand gestures seem strange to me and the tensing up of his body. my ped said he wants him to see a developmental ped so im just trying to get a heads up of what I may hear any comments I would really appreciate!
",http://ehealthforum.com/health/months-autism-t409257.html,644463,34
36,30 months autism?,"
Your son is too young to get autism, but I am sorry to say that it is possible. Mothers who take drugs to instill delivery are more likely to produce the chances of autism in their baby. go on a site themedguru .com
",http://ehealthforum.com/health/months-autism-t409257.html,645063,34
