,title,source,category,text,href,tokens
10,The Never Ending Battle for Autism Rights – A Special Interview with Civil Rights Attorney Areva Martin,https://www.autismparentingmagazine.com/,category-autism-advocacy,"A civil rights lawyer and autism mom talks about the importance of advocacy, work-life balance and the potentially groundbreaking lawsuit in which she’s representing the parents of an autistic child. Nationally recognized autism advocate and civil rights attorney Areva Martin is also mom to Marty, who has autism. Here, she gives advice on how to… Continue Reading
",https://www.autismparentingmagazine.com/the-never-ending-battle-for-autism-rights/,"['a', 'civil', 'rights', 'lawyer', 'and', 'autism', 'mom', 'talks', 'about', 'the', 'importance', 'of', 'advocacy', 'work', 'life', 'balance', 'and', 'the', 'potentially', 'groundbreaking', 'lawsuit', 'in', 'which', 'she', 's', 'representing', 'the', 'parents', 'of', 'an', 'autistic', 'child', 'nationally', 'recognized', 'autism', 'advocate', 'and', 'civil', 'rights', 'attorney', 'areva', 'martin', 'is', 'also', 'mom', 'to', 'marty', 'who', 'has', 'autism', 'here', 'she', 'gives', 'advice', 'on', 'how', 'to', 'continue', 'reading']"
11,How One Special Bear Changed the Way People See Autism,https://www.autismparentingmagazine.com/,category-autism-advocacy,"In two short years, Tikko has captured the hearts of thousands of people.  What began as my child’s dream to make the world a better place for families living with autism, is now a passion that continues to grow every time Tikko travels. We know all too well the challenges in raising a child on… Continue Reading
",https://www.autismparentingmagazine.com/how-one-special-bear-changed-the-way-people-see-autism/,"['in', 'two', 'short', 'years', 'tikko', 'has', 'captured', 'the', 'hearts', 'of', 'thousands', 'of', 'people', 'what', 'began', 'as', 'my', 'child', 's', 'dream', 'to', 'make', 'the', 'world', 'a', 'better', 'place', 'for', 'families', 'living', 'with', 'autism', 'is', 'now', 'a', 'passion', 'that', 'continues', 'to', 'grow', 'every', 'time', 'tikko', 'travels', 'we', 'know', 'all', 'too', 'well', 'the', 'challenges', 'in', 'raising', 'a', 'child', 'on', 'continue', 'reading']"
12,Winning the Fight for Autism,https://www.autismparentingmagazine.com/,category-autism-advocacy,"Every time the professional fighters meet their opponents in the ring and the octagon, they must focus on their personal strengths – from physical and mental toughness to psychological and emotional drive. It’s all about being a warrior. Christian Mitchell, founder and president of Fighting for Autism, feels much the same way. An autism awareness… Continue Reading
",https://www.autismparentingmagazine.com/winning-the-fight-for-autism/,"['every', 'time', 'the', 'professional', 'fighters', 'meet', 'their', 'opponents', 'in', 'the', 'ring', 'and', 'the', 'octagon', 'they', 'must', 'focus', 'on', 'their', 'personal', 'strengths', 'from', 'physical', 'and', 'mental', 'toughness', 'to', 'psychological', 'and', 'emotional', 'drive', 'it', 's', 'all', 'about', 'being', 'a', 'warrior', 'christian', 'mitchell', 'founder', 'and', 'president', 'of', 'fighting', 'for', 'autism', 'feels', 'much', 'the', 'same', 'way', 'an', 'autism', 'awareness', 'continue', 'reading']"
13,The Right for Autism Services for U.S. Military Families,https://www.autismparentingmagazine.com/,category-autism-advocacy,"Autism Services for Military Families by Leslie Burby   If America is the “home of the free and the brave” – shouldn’t “the brave” and their families receive the necessities that they need?  There are fundraisers and drives to supply the soldiers with military equipment, boots, food and electronics to communicate with the loved ones… Continue Reading
",https://www.autismparentingmagazine.com/autism-services-u-s-military-families/,"['autism', 'services', 'for', 'military', 'families', 'by', 'leslie', 'burby', 'if', 'america', 'is', 'the', 'home', 'of', 'the', 'free', 'and', 'the', 'brave', 'shouldn', 't', 'the', 'brave', 'and', 'their', 'families', 'receive', 'the', 'necessities', 'that', 'they', 'need', 'there', 'are', 'fundraisers', 'and', 'drives', 'to', 'supply', 'the', 'soldiers', 'with', 'military', 'equipment', 'boots', 'food', 'and', 'electronics', 'to', 'communicate', 'with', 'the', 'loved', 'ones', 'continue', 'reading']"
14,"Bridge the Gap Gala Raises over $100,000",https://www.autismparentingmagazine.com/,category-autism-advocacy,"Bridge the Gap Gala Raises over $100,000 by Leslie Burby I had the pleasure of attending Fill-A-Need’s first fundraiser, Bridge the Gap Gala, on November 16th at the Trump National Golf Club in Bedminster, NJ for an evening of fun and fundraising. The venue was astounding but equally astounding was one mother’s dedication to help… Continue Reading
",https://www.autismparentingmagazine.com/bridge-gap-gala-raises-100000-2/,"['bridge', 'the', 'gap', 'gala', 'raises', 'over', '100', '000', 'by', 'leslie', 'burby', 'i', 'had', 'the', 'pleasure', 'of', 'attending', 'fill', 'a', 'need', 's', 'first', 'fundraiser', 'bridge', 'the', 'gap', 'gala', 'on', 'november', '16th', 'at', 'the', 'trump', 'national', 'golf', 'club', 'in', 'bedminster', 'nj', 'for', 'an', 'evening', 'of', 'fun', 'and', 'fundraising', 'the', 'venue', 'was', 'astounding', 'but', 'equally', 'astounding', 'was', 'one', 'mother', 's', 'dedication', 'to', 'help', 'continue', 'reading']"
15,Exposing Autism Speaks – Podcast 4,https://www.autismparentingmagazine.com/,category-autism-advocacy,"  We started this magazine to help parents, sort through all the information. When my children were diagnosed by autism, I was scared and overwhelmed, there’s a lot of information out there and it’s hard to know what to trust and what to believe in. So there is an approach in us to help form… Continue Reading
",https://www.autismparentingmagazine.com/exposing-autism-speaks-podcast-4/,"['we', 'started', 'this', 'magazine', 'to', 'help', 'parents', 'sort', 'through', 'all', 'the', 'information', 'when', 'my', 'children', 'were', 'diagnosed', 'by', 'autism', 'i', 'was', 'scared', 'and', 'overwhelmed', 'there', 's', 'a', 'lot', 'of', 'information', 'out', 'there', 'and', 'it', 's', 'hard', 'to', 'know', 'what', 'to', 'trust', 'and', 'what', 'to', 'believe', 'in', 'so', 'there', 'is', 'an', 'approach', 'in', 'us', 'to', 'help', 'form', 'continue', 'reading']"
16,Top Ways a Gluten Free Diet  Can Help Kids with Autism,https://www.autismparentingmagazine.com/,category-autism-and-diet,"Recent clinical trials looking at gluten-free diets for children with autism spectrum disorder (ASD) are showing benefits worth considering. Typical indicators of autism spectrum in children may include delayed speech, lack of eye contact, impaired or non-present social skills, shyness, obsessive-type behaviors, delayed gross or fine motor skills, sensory integration issues (sound and touch sensitivity,… Continue Reading
",https://www.autismparentingmagazine.com/gluten-free-diet-can-help/,"['recent', 'clinical', 'trials', 'looking', 'at', 'gluten', 'free', 'diets', 'for', 'children', 'with', 'autism', 'spectrum', 'disorder', 'asd', 'are', 'showing', 'benefits', 'worth', 'considering', 'typical', 'indicators', 'of', 'autism', 'spectrum', 'in', 'children', 'may', 'include', 'delayed', 'speech', 'lack', 'of', 'eye', 'contact', 'impaired', 'or', 'non', 'present', 'social', 'skills', 'shyness', 'obsessive', 'type', 'behaviors', 'delayed', 'gross', 'or', 'fine', 'motor', 'skills', 'sensory', 'integration', 'issues', 'sound', 'and', 'touch', 'sensitivity', 'continue', 'reading']"
17,Asperger’s Syndrome and the Power of a Good Diet,https://www.autismparentingmagazine.com/,category-autism-and-diet,"I find the suggestion that there needs to be a cure for autism an absolutely ridiculous notion. Coming as I do from a family where many of our men-folk exhibit spectrum behavior, spending much of their time in the garden shed whittling or inventing, my child fits right in with our collective history of quiet,… Continue Reading
",https://www.autismparentingmagazine.com/aspergers-syndrome-and-the-power-of-a-good-diet/,"['i', 'find', 'the', 'suggestion', 'that', 'there', 'needs', 'to', 'be', 'a', 'cure', 'for', 'autism', 'an', 'absolutely', 'ridiculous', 'notion', 'coming', 'as', 'i', 'do', 'from', 'a', 'family', 'where', 'many', 'of', 'our', 'men', 'folk', 'exhibit', 'spectrum', 'behavior', 'spending', 'much', 'of', 'their', 'time', 'in', 'the', 'garden', 'shed', 'whittling', 'or', 'inventing', 'my', 'child', 'fits', 'right', 'in', 'with', 'our', 'collective', 'history', 'of', 'quiet', 'continue', 'reading']"
18,"Six Steps to a Fun, Friendly, Family Fitness Program",https://www.autismparentingmagazine.com/,category-autism-and-diet,"“Wow, how did you get him/her to do that?,” parents often ask me. Whether their seven-year-old son just performed a jump for the first time or their seventeen-year-old daughter triumphed over a Dynamax ball squat, Sandbell slam, and bear walk combo, one of the highlights of my profession is demonstrating capabilities. And it isn’t quite… Continue Reading
",https://www.autismparentingmagazine.com/six-steps-family-fitness-program/,"['wow', 'how', 'did', 'you', 'get', 'him', 'her', 'to', 'do', 'that', 'parents', 'often', 'ask', 'me', 'whether', 'their', 'seven', 'year', 'old', 'son', 'just', 'performed', 'a', 'jump', 'for', 'the', 'first', 'time', 'or', 'their', 'seventeen', 'year', 'old', 'daughter', 'triumphed', 'over', 'a', 'dynamax', 'ball', 'squat', 'sandbell', 'slam', 'and', 'bear', 'walk', 'combo', 'one', 'of', 'the', 'highlights', 'of', 'my', 'profession', 'is', 'demonstrating', 'capabilities', 'and', 'it', 'isn', 't', 'quite', 'continue', 'reading']"
19,Q&A Section: How does Gluten free casein free diet work and is it effective?,https://www.autismparentingmagazine.com/,category-autism-and-diet,"This is the question of the month as featured in Issue Number 7 Q: What is GFCF? A: GFCF stands for Gluten-Free and Casein-Free Q: What is gluten? A: In Living Gluten Free for Dummies by Danna Korn, “Gluten is a mixture of proteins in wheat, rye, and barley. Oats don’t have gluten but may… Continue Reading
",https://www.autismparentingmagazine.com/qa-section-gluten-free-casein-free-diet-work-effective/,"['this', 'is', 'the', 'question', 'of', 'the', 'month', 'as', 'featured', 'in', 'issue', 'number', '7', 'q', 'what', 'is', 'gfcf', 'a', 'gfcf', 'stands', 'for', 'gluten', 'free', 'and', 'casein', 'free', 'q', 'what', 'is', 'gluten', 'a', 'in', 'living', 'gluten', 'free', 'for', 'dummies', 'by', 'danna', 'korn', 'gluten', 'is', 'a', 'mixture', 'of', 'proteins', 'in', 'wheat', 'rye', 'and', 'barley', 'oats', 'don', 't', 'have', 'gluten', 'but', 'may', 'continue', 'reading']"
20,Mallory’s Marvelous Muffins,https://www.autismparentingmagazine.com/,category-autism-and-food,"I had the pleasure of reviewing Mallory’s Marvelous Muffins because they not only have the typical occasion baskets (such as holiday, get well, bereavement, congratulations, thank you, specific corporate baskets and many more) but they also have autism awareness baskets. They have many flavors of muffins, cookies, and coffee cakes. They even have customized gluten-free… Continue Reading
",https://www.autismparentingmagazine.com/mallorys-marvelous-muffins/,"['i', 'had', 'the', 'pleasure', 'of', 'reviewing', 'mallory', 's', 'marvelous', 'muffins', 'because', 'they', 'not', 'only', 'have', 'the', 'typical', 'occasion', 'baskets', 'such', 'as', 'holiday', 'get', 'well', 'bereavement', 'congratulations', 'thank', 'you', 'specific', 'corporate', 'baskets', 'and', 'many', 'more', 'but', 'they', 'also', 'have', 'autism', 'awareness', 'baskets', 'they', 'have', 'many', 'flavors', 'of', 'muffins', 'cookies', 'and', 'coffee', 'cakes', 'they', 'even', 'have', 'customized', 'gluten', 'free', 'continue', 'reading']"
21,Q and A Do sugary foods make children with autism more hyperactive?,https://www.autismparentingmagazine.com/,category-autism-and-food,"Sivakumari asks: My daughter loves to eat ice-cream and cake. She will get angry and scream if we do not buy it. How can I stop her from doing this? Also, it is true that sugary foods make children with autism more hyperactive? Hi Sivakumari, thanks for your questions. Your daughter is a girl after… Continue Reading
",https://www.autismparentingmagazine.com/sugary-foods-children-autism-hyperactive/,"['sivakumari', 'asks', 'my', 'daughter', 'loves', 'to', 'eat', 'ice', 'cream', 'and', 'cake', 'she', 'will', 'get', 'angry', 'and', 'scream', 'if', 'we', 'do', 'not', 'buy', 'it', 'how', 'can', 'i', 'stop', 'her', 'from', 'doing', 'this', 'also', 'it', 'is', 'true', 'that', 'sugary', 'foods', 'make', 'children', 'with', 'autism', 'more', 'hyperactive', 'hi', 'sivakumari', 'thanks', 'for', 'your', 'questions', 'your', 'daughter', 'is', 'a', 'girl', 'after', 'continue', 'reading']"
22,Social Stories for Autistic Children,https://www.autismparentingmagazine.com/,category-autism-articles,"Children with autism spectrum disorder (ASD) can sometimes have difficulty when it comes to mastering social skills, as well as communication skills. The good news is there are various strategies or tools developed by experts to help people caring for children with ASD so they grow and succeed. Among these tools are the social stories… Continue Reading
",https://www.autismparentingmagazine.com/social-stories-for-autistic-children/,"['children', 'with', 'autism', 'spectrum', 'disorder', 'asd', 'can', 'sometimes', 'have', 'difficulty', 'when', 'it', 'comes', 'to', 'mastering', 'social', 'skills', 'as', 'well', 'as', 'communication', 'skills', 'the', 'good', 'news', 'is', 'there', 'are', 'various', 'strategies', 'or', 'tools', 'developed', 'by', 'experts', 'to', 'help', 'people', 'caring', 'for', 'children', 'with', 'asd', 'so', 'they', 'grow', 'and', 'succeed', 'among', 'these', 'tools', 'are', 'the', 'social', 'stories', 'continue', 'reading']"
23,Creative Ways to Help a Child with Autism Enjoy the Water,https://www.autismparentingmagazine.com/,category-autism-articles,"How does your child react in the water—with pleasure or with pain?  Does your child respond to water play with interest and excitement, or does the very mention of water create stress? Let’s look at the reasons why kids with autism spectrum disorder (ASD) react differently from one another in the water, along with some… Continue Reading
",https://www.autismparentingmagazine.com/ways-helping-autism-child-enjoy-water/,"['how', 'does', 'your', 'child', 'react', 'in', 'the', 'water', 'with', 'pleasure', 'or', 'with', 'pain', 'does', 'your', 'child', 'respond', 'to', 'water', 'play', 'with', 'interest', 'and', 'excitement', 'or', 'does', 'the', 'very', 'mention', 'of', 'water', 'create', 'stress', 'let', 's', 'look', 'at', 'the', 'reasons', 'why', 'kids', 'with', 'autism', 'spectrum', 'disorder', 'asd', 'react', 'differently', 'from', 'one', 'another', 'in', 'the', 'water', 'along', 'with', 'some', 'continue', 'reading']"
24,Autism and Anxiety Disorder – The Double Diagnosis,https://www.autismparentingmagazine.com/,category-autism-articles,"Over the years, lack of eye contact from a person diagnosed with autism spectrum disorder (ASD) has been mistaken as an indication of lack of empathy or connection with others. This theory began in the 1980s when psychologists Simon Baron-Cohen and Uta Frith indicated that people diagnosed with autism were not capable of using the… Continue Reading
",https://www.autismparentingmagazine.com/autism-anxiety-disorder/,"['over', 'the', 'years', 'lack', 'of', 'eye', 'contact', 'from', 'a', 'person', 'diagnosed', 'with', 'autism', 'spectrum', 'disorder', 'asd', 'has', 'been', 'mistaken', 'as', 'an', 'indication', 'of', 'lack', 'of', 'empathy', 'or', 'connection', 'with', 'others', 'this', 'theory', 'began', 'in', 'the', '1980s', 'when', 'psychologists', 'simon', 'baron', 'cohen', 'and', 'uta', 'frith', 'indicated', 'that', 'people', 'diagnosed', 'with', 'autism', 'were', 'not', 'capable', 'of', 'using', 'the', 'continue', 'reading']"
25,Mental Health and Anxiety Treatment with Autism: There is Help,https://www.autismparentingmagazine.com/,category-autism-articles,"If your child has autism spectrum disorder (ASD), he/she is far more likely to have one or more additional disorders—such as anxiety, obsessive-compulsive disorder (OCD), or a mood disorder. Current estimates tell us more than 50 percent of children with ASD have significant anxiety. It’s common for high-functioning children on the spectrum to realize they… Continue Reading
",https://www.autismparentingmagazine.com/mental-health-anxiety-treatment-with-autism/,"['if', 'your', 'child', 'has', 'autism', 'spectrum', 'disorder', 'asd', 'he', 'she', 'is', 'far', 'more', 'likely', 'to', 'have', 'one', 'or', 'more', 'additional', 'disorders', 'such', 'as', 'anxiety', 'obsessive', 'compulsive', 'disorder', 'ocd', 'or', 'a', 'mood', 'disorder', 'current', 'estimates', 'tell', 'us', 'more', 'than', '50', 'percent', 'of', 'children', 'with', 'asd', 'have', 'significant', 'anxiety', 'it', 's', 'common', 'for', 'high', 'functioning', 'children', 'on', 'the', 'spectrum', 'to', 'realize', 'they', 'continue', 'reading']"
26,Helping People With Autism Communicate in a Disaster,https://www.autismparentingmagazine.com/,category-autism-articles,"Lately, the news has been immersed in images of the city of Houston, Texas  swallowed by a torrent of flood water.  We’ve felt sympathy for those affected, we’ve  worried about their welfare. And we’ve all probably thought, “What if that was my family?” We hope it will never happen, but sometimes it does.  Fire, flood,… Continue Reading
",https://www.autismparentingmagazine.com/help-autism-communicate-in-disaster/,"['lately', 'the', 'news', 'has', 'been', 'immersed', 'in', 'images', 'of', 'the', 'city', 'of', 'houston', 'texas', 'swallowed', 'by', 'a', 'torrent', 'of', 'flood', 'water', 'we', 've', 'felt', 'sympathy', 'for', 'those', 'affected', 'we', 've', 'worried', 'about', 'their', 'welfare', 'and', 'we', 've', 'all', 'probably', 'thought', 'what', 'if', 'that', 'was', 'my', 'family', 'we', 'hope', 'it', 'will', 'never', 'happen', 'but', 'sometimes', 'it', 'does', 'fire', 'flood', 'continue', 'reading']"
27,I See You: Raising Neurotypical and Autistic Sisters with Love,https://www.autismparentingmagazine.com/,category-autism-articles,"When we brought my seven-year-old stepdaughter with autism spectrum disorder (ASD) to the hospital to see her new baby sister, her eyes filled with awe.  She sat gently at the foot of the bed, somewhat afraid to touch the wriggling squeaker in daddy’s arms. Throwing glances to my now-deflated belly and back to the wrapped… Continue Reading
",https://www.autismparentingmagazine.com/raising-neurotypical-and-autistic-sisters/,"['when', 'we', 'brought', 'my', 'seven', 'year', 'old', 'stepdaughter', 'with', 'autism', 'spectrum', 'disorder', 'asd', 'to', 'the', 'hospital', 'to', 'see', 'her', 'new', 'baby', 'sister', 'her', 'eyes', 'filled', 'with', 'awe', 'she', 'sat', 'gently', 'at', 'the', 'foot', 'of', 'the', 'bed', 'somewhat', 'afraid', 'to', 'touch', 'the', 'wriggling', 'squeaker', 'in', 'daddy', 's', 'arms', 'throwing', 'glances', 'to', 'my', 'now', 'deflated', 'belly', 'and', 'back', 'to', 'the', 'wrapped', 'continue', 'reading']"
28,The Awesome Rewards of a School Service Dog for Kids with Autism,https://www.autismparentingmagazine.com/,category-autism-articles,"Families navigating through the world of autism spectrum disorder (ASD) face numerous obstacles throughout everyday life. Events and situations that many people take for granted, such as owning a pet or interacting with a domesticated animal, may pose great challenges. Animals, especially dogs, are an integral part of American culture. As individuals with autism learn… Continue Reading
",https://www.autismparentingmagazine.com/service-dog-for-kids-with-autism/,"['families', 'navigating', 'through', 'the', 'world', 'of', 'autism', 'spectrum', 'disorder', 'asd', 'face', 'numerous', 'obstacles', 'throughout', 'everyday', 'life', 'events', 'and', 'situations', 'that', 'many', 'people', 'take', 'for', 'granted', 'such', 'as', 'owning', 'a', 'pet', 'or', 'interacting', 'with', 'a', 'domesticated', 'animal', 'may', 'pose', 'great', 'challenges', 'animals', 'especially', 'dogs', 'are', 'an', 'integral', 'part', 'of', 'american', 'culture', 'as', 'individuals', 'with', 'autism', 'learn', 'continue', 'reading']"
